Id;URL;image;title;date;Views (organic);Views (Paid);Reach (Organic);Reach (Paid);Likes (Organic);Saved (Organic);Comments (Organic);Shares (Organic);Interactions (Organic);Interactions (Paid);Engagement (Organic);Posts clicks (Paid);Spend
"3628857588470212490_4362698656";"https://www.instagram.com/reel/DJcSsANP2eK/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/496008654_18354567109146657_555047424872153212_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=BMLMjRAy_ecQ7kNvwGJh5Hq&_nc_oc=Adle4d4hKdWCCPt4YjAYe2hXONC6UhKe96uMeFULMGTyCIYmy411qx9lQRh4zBZDO-E&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVIzQkl_SLOdPuduJvIvB9IETQ2tasDN-XLlHuAuVFKcg&oe=6899FFED";"Detrás de cada uno de nosotros hay una historia para contar 💙

Gracias a Manu y a su mamá por compartir sus ""buenísimos"", por su tiempo y por poner el cuerpo a esta causa.

Si vos también querés sumarte podes hacerlo desde nuestra plataforma de actividades o donando mensualmente como socio/a (link en bio) 🫱🏼‍🫲🏽";2025-05-09 14:59;"12544";;"8941";;"434";"10";"22";"52";518;;"5.79";;
"3626733767236497664_4362698656";"https://www.instagram.com/reel/DJUvyVjC7EA/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/496066303_18354206872146657_815988994329964754_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=PaFli9nPJ6kQ7kNvwFnnGF_&_nc_oc=Adm7A0BxXXQoHFx4h0l1SqzN4yxW75oIC0hQvx7vaWIp7Ziz781DKQnhjsmuI2QD5W0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVwMuPCkQv6G51DS8AucRwLuaH4jAeVHBCE5fH0GopqyQ&oe=6899FA91";"Si estás en Buenos Aires ya tenés listo tu plan para este finde. Nos vemos ahí? 💙 #buenosairesrun";2025-05-06 16:40;"14308";;"9653";;"214";"7";"4";"18";243;;"2.52";;
"3623860512987103393_4362698656";"https://www.instagram.com/reel/DJKie_AKUCh/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/503814990_4186162871620610_7034956870731961092_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=7vuI9lXQOy4Q7kNvwGWAMDO&_nc_oc=AdmsoMUOCduOBGwfazxLuijNg7ZEi9FVu8HCGBjb2dYYY9irhoilQ4686YjnBmMWb5c&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWXIF4E37DqUjQvm46CxeBpIrZWd3LbUsQrrfQ2abH-Vg&oe=689A188A";"Queremos más Eduardos 😎

💙 Somos TECHO gracias a todos los que nos apoyan, gracias a nuestra comunidad de socios y socias de la cuál vos también podes ser parte.

➡️ Si ya sos socio/a, comentanos porque elegís ser parte de esta gran comunidad para que más personas se sumen!";2025-05-02 17:31;"9065";;"4588";;"208";"3";"3";"2";216;;"4.71";;
"3618730700661760013_4362698656";"https://www.instagram.com/reel/DI4UGY-vqAN/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/501919130_1851443315633531_4366092627658661535_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=MdIqVhL4NLAQ7kNvwF-NkSg&_nc_oc=AdmYTd7FqAKMgdu3N83HWDQictsS2jm_ZQvmjijsh8AOCIskEMs-9JrA6kUYqAXuZQY&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfX_7bYEr6WxRVpD0l8miLQl-4VaLfSxgawgXPaZsrf8bA&oe=689A1F5D";"Cristian nunca imaginó que algo así podía pasarle.
Hasta que un grupo de personas que no conocía llegó a su barrio con un sueño en común: construir un hogar digno junto a él y su familia. 🏡

💙 Con esfuerzo compartido, manos solidarias y muchas emociones en el medio, hoy sus hijas tienen un techo seguro y un futuro distinto por delante.

Su historia es una de las tantas que queremos multiplicar y para hacerlo necesitamos tu aporte. Podes sumarte con tu donación mensual a nuestra comunidad de socios y socias (link en bio) 🫱🏼‍🫲🏽

🎥 @gonnza_d";2025-04-25 15:39;"23626";;"15147";;"479";"18";"12";"70";579;;"3.82";;
"3616616567559911113_4362698656";"https://www.instagram.com/reel/DIwzZtGM3bJ/";"https://scontent-lhr6-2.cdninstagram.com/v/t51.75761-15/491438200_18352624753146657_890128952680839644_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_ohc=oP_aeG_vpL0Q7kNvwFKk02K&_nc_oc=AdkCK3HWn3J1cqqt-xAehYMA9MsM1eo7YuWuP-SqJZGwM3Q50qvvzxz6QUc-9_yO8Uk&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWxT6mDaPEs48B1QFVWvIJ_1vQipUWO9L-O6u9FEc8r6Q&oe=6899EA32";"Desafío activado💡 Queremos lograr 1.100 socios y socias para construir 1.000 viviendas este 2025 ✅

Asociate a TECHO y construí con nosotros todos los días 🏡";2025-04-22 17:39;"20978";;"12745";;"493";"20";"4";"70";587;;"4.61";;
"3596969616313362612_4362698656";"https://www.instagram.com/reel/DHrAM74Oyi0/";"https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/486834572_2125462881242849_6758379490993704927_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=1-7&_nc_sid=18de74&_nc_ohc=XFe5b4sqQpQQ7kNvwEJl58y&_nc_oc=Admr8Th7sI9UucKf5JMJSWNbByycJKlTNOyVBpyQl11t9DaCFCtkkUshH07cC9_SWSc&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWbb4GbNFsyxCUhBvktwsB6uFXzCcgJ89T3yJ21xClsuw&oe=689A1A3C";"La emoción de vivir #UnGolPorUnTECHO ⚽️

Gracias @afaseleccion 🙏🏽🇦🇷 

#argentinabrasil";2025-03-26 15:04;"12412";;"7628";;"674";"6";"15";"26";721;;"9.45";;
"3596413456535480133_4362698656";"https://www.instagram.com/reel/DHpBvvuO2dF/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/486021751_18349627162146657_371525723863286651_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=LdpJ9FqGShIQ7kNvwGK-krK&_nc_oc=Adk3obGtXDRgKmTFXFTPufsQOB7wdNPcn5dLxxxrinAWQ8ud-VFfLwH-KYlrEgZOEls&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXhRItUyKhgX66nQ0Bkg7zwLYybGBYyx7_0fA-cxxh4Mw&oe=689A1D96";"Vamos Argentina, Vamos Selección 🇦🇷

Info clave sobre el convenio que firmamos desde @techo_argentina con @afa.oficial 🫱🏻‍🫲🏼⚽️

#UnGolPorUnTECHO 🇦🇷 #seleccion #argentina #brasil @afaseleccion";2025-03-25 20:39;"21204";;"13421";;"628";"15";"19";"99";761;;"5.67";;
"3578773267529969589_4362698656";"https://www.instagram.com/reel/DGqW1Neya-1/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/495593519_1887084482102577_7427635221854492064_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=HrIVe18LX2oQ7kNvwFANx2R&_nc_oc=AdlrI38lrmDiB_RbnPZ_ZXfU3aHVGuF08tSx_9796bKsUylez_OQ5LS5y17on1iyImA&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=32v4RJavfa95adFXzA8pQg&oh=00_AfVELPc_vCryUbC0ySW2MOX4dMnrXNVlo1aq0wE3QHsuzg&oe=68977D0A";"En @techo_org , estamos comprometidos no solo con reconstruir, sino con reimaginar: buscamos construir un futuro donde cada familia pueda vivir en un hogar seguro y sostenible, resistente ante los desafíos del cambio climático. 

#ViviendaResiliente #ROOH #RacetoResilience #TECHO";2025-03-01 12:31;"11698";;"6897";;"515";"11";"31";"75";632;;"9.16";;
"3577339521646258796_4362698656";"https://www.instagram.com/reel/DGlQ1dksOps/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/503756191_1841677153043275_4828786528693344275_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=wMHdqmqHYdQQ7kNvwF24vu-&_nc_oc=AdmjI0N3KRvdiZSbVlUcLIy09nCWRliOd4nGvU41uc_D5mCUzPTAXVV-SDynUOYk_tM&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=32v4RJavfa95adFXzA8pQg&oh=00_AfUIH5fn-3A4YwWVB7ntOM8C6MCWs_UBTT6Ub_x6uOB4iw&oe=6897756F";"Tu aporte nos permite seguir trabajando en transformar la realidad de los barrios populares de Argentina.

Sumate a la comunidad de socios/as 💙

*Ingresá al link en nuestro perfil o comentá ""comunidad"" y te mandamos por privado 💌";2025-02-27 13:02;"12185";;"7974";;"343";"15";"4";"40";402;;"5.04";;
"3576735636249420359_4362698656";"https://www.instagram.com/reel/DGjHhxeIKJH/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/503329203_679443728204792_2782804972817347212_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=FE9zJOqjpWMQ7kNvwFD-6tZ&_nc_oc=Adk7GO7UMqeEQkEcjkEhlVQ8mfgA7JX5x9HE8T2zA8NIphcEW7ve1vj_s1i9f_6kA7o&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=32v4RJavfa95adFXzA8pQg&oh=00_AfWVg6sEHSP8AG4ae4iOrqBgU9SUUqlFsJ4nP-sRY2BxYw&oe=68977896";"Recuerdo de nuestra última construcción nacional 🛠️💙

131 viviendas en Concordia, Entre Ríos. 

Están listos para la próxima? 👀👀👀👀

📹 @gonnza_d";2025-02-26 17:03;"50241";;"31979";;"818";"28";"57";"210";1113;;"3.48";;
