Image;URL;Title;Date;Link;Type;Views;Likes;Comments;Shares;Reach;Duration;Engagement;Full video watched rate;Total time watched seconds;Avg. time watched seconds;For You;Follow;Hashtag;Sound;Personal profile;Search
"https://static.metricool.com/tkvideocovers/202504/2460321-7497337297491250437.jpeg";"https://www.tiktok.com/@techo_arg/video/7497337297491250437?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"bancan techinis??? comenten cuál voluntarini nos falta  #italianbrainrotanimal #italianbrainrot #volunteer";2025-04-25 16:37;"https://www.tiktok.com/player/v1/7497337297491250437?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";2481;167;6;35;1966;23;"10.58";"0.07";"13598";"5.47";"82.2";"1.3";;"0";"7.2";"2.7"
"https://static.metricool.com/tkvideocovers/202504/2460321-7496956288564219191.jpeg";"https://www.tiktok.com/@techo_arg/video/7496956288564219191?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"pov: vas a una construcción nacional #volunteer ";2025-04-24 15:59;"https://www.tiktok.com/player/v1/7496956288564219191?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1126;63;0;9;905;20;"7.96";"0.02";"4417";"3.92";"75.8";"0.6";;"0";"14.6";"1.6"
"https://static.metricool.com/tkvideocovers/202504/2460321-7496952211872812294.jpeg";"https://www.tiktok.com/@techo_arg/video/7496952211872812294?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"donde esta la #promo25🎓✨️ cuando se la necesita ???!!!";2025-04-24 15:43;"https://www.tiktok.com/player/v1/7496952211872812294?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";851;47;4;1;655;50;"7.94";"0.04";"7249";"8.6";"69";"2";;"0";"17.2";"3.7"
"https://static.metricool.com/tkvideocovers/202504/2460321-7493148991723523383.jpeg";"https://www.tiktok.com/@techo_arg/video/7493148991723523383?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Mandáselo a tus amigos/as con quienes te gustaría construir una Argentina donde nadie viva en un piso de tierra 💪 #voluntariados #fyppppppppppppppppppppppp #creatorsearchinsights";2025-04-14 09:45;"https://www.tiktok.com/player/v1/7493148991723523383?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1483;84;4;3;1133;24;"8.03";"0.07";"9088";"6.4";"65.6";"1.3";;"0";"11";"14.1"
"https://static.metricool.com/tkvideocovers/202503/2460321-7486224902693981445.jpeg";"https://www.tiktok.com/@techo_arg/video/7486224902693981445?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"La pasión de vivir #ungolxuntecho 🇦🇷⚽️💙 @afaseleccion #argentina #brasil #futbol #eliminatorias ";2025-03-26 17:56;"https://www.tiktok.com/player/v1/7486224902693981445?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";805;72;0;2;602;82;"12.29";"0.03";"6427";"8.05";"58.9";"3.5";;"0";"21.7";"6.8"
"https://static.metricool.com/tkvideocovers/202503/2460321-7476864120952851767.jpeg";"https://www.tiktok.com/@techo_arg/video/7476864120952851767?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"En @techo_org , estamos comprometidos no solo con reconstruir, sino con reimaginar: buscamos construir un futuro donde cada familia pueda vivir en un hogar seguro y sostenible, resistente ante los desafíos del cambio climático. #ViviendaResiliente #ROOH #RacetoResilience #TECHO";2025-03-01 12:31;"https://www.tiktok.com/player/v1/7476864120952851767?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1730;124;1;4;1416;65;"9.11";"0.02";"14224";"8.26";"71.9";"0.6";;"0";"12.5";"11"
"https://static.metricool.com/tkvideocovers/202502/2460321-7476130012404436229.jpeg";"https://www.tiktok.com/@techo_arg/video/7476130012404436229?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Tu aporte nos permite seguir trabajando en transformar la realidad de los barrios populares de Argentina. Sumate a la comunidad de socios/as 💙 *Ingresá al link en nuestro perfil o comentá ""comunidad"" y te mandamos por privado 💌";2025-02-27 13:02;"https://www.tiktok.com/player/v1/7476130012404436229?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";981;81;0;2;863;33;"9.62";"0.02";"6304";"6.41";"68.3";"0.5";;"0";"20.8";"3"
"https://static.metricool.com/tkvideocovers/202502/2460321-7475820968632667398.jpeg";"https://www.tiktok.com/@techo_arg/video/7475820968632667398?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Recuerdo de nuestra última construcción nacional 🛠️💙 131 viviendas en Concordia, Entre Ríos. Están listos para la próxima? 👀👀👀👀";2025-02-26 17:03;"https://www.tiktok.com/player/v1/7475820968632667398?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";978;80;1;7;753;221;"11.69";"0.01";"11583";"11.87";"67.3";"0.6";;"0";"24";"2"
"https://static.metricool.com/tkvideocovers/202502/2460321-7473161319152143621.jpeg";"https://www.tiktok.com/@techo_arg/video/7473161319152143621?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Es oficial, tenemos una nueva herramienta 🔩 #punzontechero";2025-02-19 13:02;"https://www.tiktok.com/player/v1/7473161319152143621?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";2350;156;0;8;2033;30;"8.07";"0.04";"25160";"10.68";"85.1";"0";;"0";"8.4";"3.7"
"https://static.metricool.com/tkvideocovers/202502/2460321-7471298070320401669.jpeg";"https://www.tiktok.com/@techo_arg/video/7471298070320401669?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Alguna vez te preguntaste qué es el trabajo comunitario? 👀 Dentro de un barrio popular hay muchas personas que se organizan y trabajan para mejorar las condiciones en las que viven. Araceli es una de ellas y nos cuenta como es su día a día 💪";2025-02-14 12:32;"https://www.tiktok.com/player/v1/7471298070320401669?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";731;34;0;1;598;119;"5.85";"0";"3684";"5.06";"63.2";"0.5";;"0";"22.9";"8.2"
"https://static.metricool.com/tkvideocovers/202502/2460321-7469813569836600582.jpeg";"https://www.tiktok.com/@techo_arg/video/7469813569836600582?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Creemos que es posible construir una sociedad sin violencia y para todos 💙 Encontrarse en comunidad, charlar, debatir y escuchar nos acerca y nos permite construir una mejor convivencia. Qué cosas haces para llevarte mejor con quién tenes al lado?";2025-02-10 12:31;"https://www.tiktok.com/player/v1/7469813569836600582?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";802;40;0;0;678;65;"5.9";"0";"3283";"4.08";"68.7";"0.9";;"0";"18.1";"6.2"
"https://static.metricool.com/tkvideocovers/202502/2460321-7467649565127150853.jpeg";"https://www.tiktok.com/@techo_arg/video/7467649565127150853?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Si estabas pensando en hacer un voluntariado esta es tu señal ✨#creatorsearchinsights #fyppppppppppppppppppppppp #voluntariados";2025-02-04 16:34;"https://www.tiktok.com/player/v1/7467649565127150853?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1440;107;1;9;1159;56;"10.09";"0.02";"11885";"8.26";"64.8";"0";;"0";"10.7";"18.1"
"https://static.metricool.com/tkvideocovers/202501/2460321-7466070471117671685.jpeg";"https://www.tiktok.com/@techo_arg/video/7466070471117671685?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Lo que vivimos no lo pueden apagar 💙 #fyppppppppppppppppppppppp#creatorsearchinsights #comunidadtechera #voluntariadotecho #techoargentina";2025-01-31 10:26;"https://www.tiktok.com/player/v1/7466070471117671685?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1736;133;2;2;1339;107;"10.23";"0.01";"19018";"11.11";"66.2";"0";;"0";"8.4";"20.1"
"https://static.metricool.com/tkvideocovers/202412/2460321-7451630354269523205.jpeg";"https://www.tiktok.com/@techo_arg/video/7451630354269523205?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Reflexión de find de año ➡️ ¿una casa mejora la salud mental? 🤔 #psicologia #vivienda #habitat #saludmental";2024-12-23 12:31;"https://www.tiktok.com/player/v1/7451630354269523205?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1440;106;0;1;1181;113;"9.06";"0.01";"11073";"7.72";"79";"2.4";;"0";"8.9";"3.8"
"https://static.metricool.com/tkvideocovers/202412/2460321-7447992174072925446.jpeg";"https://www.tiktok.com/@techo_arg/video/7447992174072925446?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Estuvimos a full en el #BSASTRAP alguno pasó por nuestra intervención?";2024-12-13 17:14;"https://www.tiktok.com/player/v1/7447992174072925446?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1156;86;0;3;942;41;"9.45";"0.03";"7398";"6.32";"79.2";"2.7";;"0";"8.8";"2"
"https://static.metricool.com/tkvideocovers/202412/2460321-7447628986454215941.jpeg";"https://www.tiktok.com/@techo_arg/video/7447628986454215941?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Llegamos al #BSASTRAP alguién pasó por nuestra intervención?";2024-12-12 17:44;"https://www.tiktok.com/player/v1/7447628986454215941?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";591;58;1;0;486;60;"12.14";"0.01";"7363";"11.5";"61.5";"2.2";;"0";"16.4";"1.6"
"https://static.metricool.com/tkvideocovers/202411/2460321-7440201632295521592.jpg";"https://www.tiktok.com/@techo_arg/video/7440201632295521592?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"cada vez más cerca de lograrlo 🏘✅️🇦🇷🥺✨️";2024-11-22 17:22;"https://www.tiktok.com/player/v1/7440201632295521592?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"PHOTO";1019;58;0;5;757;0;"8.32";"0.17";"4274";"4.2";"73.6";"2.8";;"0";"10.3";"7"
"https://static.metricool.com/tkvideocovers/202411/2460321-7439713329905503544.jpeg";"https://www.tiktok.com/@techo_arg/video/7439713329905503544?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Con tu donación estás logrando que 1.001 familias terminen el año bajo un techo seguro  Sumate y doná en link.mercadopago.com.ar/colectatecho2024 (link en bio)";2024-11-21 09:47;"https://www.tiktok.com/player/v1/7439713329905503544?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";229;16;1;0;168;57;"10.12";"0";"1370";"6.14";"22.9";"3.6";;"0";"43.4";"9.9"
"https://static.metricool.com/tkvideocovers/202411/2460321-7437136278858075447.jpeg";"https://www.tiktok.com/@techo_arg/video/7437136278858075447?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"Abrimos el consultorio emocional 🧠 #creatorsearchinsights";2024-11-14 11:07;"https://www.tiktok.com/player/v1/7437136278858075447?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";763;47;1;0;579;113;"8.29";"0.01";"4275";"5.43";"70.1";"1.3";;"0";"11.4";"5.8"
